,predicted_spread,actual_spread
665,-3.22,-15.0
666,-5.51,5.0
667,0.74,1.0
668,0.68,-8.0
669,-1.1,25.0
670,1.67,6.0
671,6.2,19.0
672,-0.2,-29.0
673,0.43,-36.0
674,1.8,28.0
675,4.98,10.0
676,4.12,1.0
677,-6.26,-47.0
678,1.56,-21.0
679,1.82,15.0
680,3.56,7.0
681,58.11,-20.0
682,1.98,-12.0
683,2.86,-50.0
684,2.0,-8.0
685,6.68,22.0
686,-0.63,3.0
687,1.87,-13.0
688,5.54,-20.0
689,1.45,-30.0
690,-4.25,19.0
691,3.62,-17.0
692,5.93,39.0
693,1.33,28.0
694,1.15,21.0
695,-0.98,-64.0
696,0.77,18.0
697,9.99,17.0
698,1.52,37.0
699,2.18,3.0
700,-0.98,-3.0
701,3.96,-12.0
702,1.68,20.0
703,-2.5,-5.0
704,-0.33,4.0
705,-2.15,-26.0
706,3.63,24.0
707,3.42,17.0
708,6.42,33.0
709,-1.79,-36.0
710,-0.81,6.0
711,-1.53,9.0
712,0.19,3.0
713,-1.39,-11.0
714,-7.02,-10.0
715,1.77,49.0
716,5.45,-16.0
717,-4.85,8.0
718,0.6,-6.0
719,9.21,14.0
720,-0.03,-14.0
721,-1.71,-30.0
722,2.89,15.0
723,-0.42,-43.0
724,1.83,30.0
725,0.03,11.0
726,0.57,29.0
727,4.86,9.0
728,5.1,14.0
729,-3.28,-9.0
730,3.64,-17.0
731,1.49,9.0
732,4.34,-7.0
733,12.14,79.0
734,-1.21,12.0
735,5.35,22.0
736,-5.35,-21.0
737,5.52,9.0
738,-2.53,-6.0
739,-0.15,-1.0
740,1.55,22.0
741,2.27,8.0
742,1.87,3.0
743,2.61,52.0
744,7.99,14.0
745,6.75,-5.0
746,5.65,-40.0
747,1.2,15.0
748,5.62,21.0
749,-1.13,13.0
750,5.2,21.0
751,-2.4,-17.0
752,0.07,29.0
753,-2.57,-10.0
754,-2.47,18.0
755,10.03,46.0
756,4.67,54.0
757,7.35,-4.0
758,2.69,-18.0
759,0.94,-14.0
760,-7.52,-17.0
761,5.05,37.0
762,0.01,-6.0
763,13.17,23.0
764,-1.89,-18.0
765,2.11,22.0
766,-8.52,-24.0
767,6.97,13.0
768,-4.62,-10.0
769,-0.32,8.0
770,0.77,7.0
771,1.47,31.0
772,6.55,-9.0
773,0.06,-24.0
774,-3.89,-22.0
775,-2.98,-31.0
776,8.87,14.0
777,1.54,-12.0
778,6.25,10.0
779,6.92,27.0
780,0.82,-7.0
781,2.0,10.0
782,-4.08,3.0
783,2.1,3.0
784,-0.21,-20.0
785,5.48,15.0
786,-3.09,-16.0
787,-0.41,-19.0
788,4.36,-20.0
789,1.4,6.0
790,4.92,24.0
791,-0.44,-5.0
792,0.58,21.0
793,2.92,10.0
794,7.24,12.0
795,3.06,-7.0
796,8.55,21.0
797,2.59,3.0
798,2.61,17.0
799,11.52,15.0
800,7.34,7.0
801,2.0,9.0
802,2.0,22.0
803,6.39,32.0
804,3.91,24.0
805,-1.5,-12.0
806,3.85,17.0
807,2.58,-30.0
808,-4.13,3.0
809,1.95,23.0
810,4.11,11.0
811,-0.92,-2.0
812,12.04,32.0
813,-0.05,-15.0
814,4.01,-9.0
815,2.57,-25.0
816,7.42,12.0
817,1.03,-7.0
818,3.05,20.0
819,6.15,3.0
820,7.12,2.0
821,0.96,8.0
822,4.91,15.0
823,3.43,-56.0
824,6.13,6.0
825,0.95,11.0
826,0.76,8.0
827,8.44,9.0
828,1.61,-8.0
829,1.21,-18.0
830,4.59,3.0
831,0.25,-23.0
832,3.43,-40.0
833,0.21,-16.0
834,-8.9,-14.0
835,5.02,52.0
836,9.78,20.0
837,-0.44,-24.0
838,6.0,3.0
839,8.93,29.0
840,2.0,11.0
841,2.01,-8.0
842,-4.68,-3.0
843,1.81,-39.0
844,2.53,5.0
845,4.1,24.0
846,1.99,-3.0
847,-6.12,26.0
848,7.03,30.0
849,4.12,8.0
850,-1.92,34.0
851,-0.21,14.0
852,0.87,10.0
853,9.4,20.0
854,3.06,16.0
855,3.99,37.0
856,7.59,25.0
857,0.38,24.0
858,7.27,6.0
859,-1.13,-8.0
860,1.34,-11.0
861,-0.04,20.0
862,-1.21,21.0
863,2.47,31.0
864,0.14,32.0
865,-1.81,-5.0
866,-3.91,-1.0
867,-5.07,16.0
868,4.01,-14.0
869,2.0,-1.0
870,3.6,22.0
871,4.41,-7.0
872,-1.64,-6.0
873,0.87,-12.0
874,-3.1,-10.0
875,8.25,17.0
876,4.84,42.0
877,2.21,11.0
878,7.22,8.0
879,2.63,8.0
880,-1.28,-8.0
881,-3.25,18.0
882,4.92,7.0
883,6.73,14.0
884,8.33,33.0
885,3.53,-11.0
886,-4.69,-17.0
887,0.24,-11.0
888,-3.91,-3.0
889,3.14,3.0
890,0.23,-19.0
891,-2.22,5.0
892,4.7,-25.0
893,2.88,1.0
894,5.52,26.0
895,-4.47,-17.0
896,2.77,14.0
897,-0.25,-2.0
898,-3.95,-29.0
899,-1.35,-34.0
900,1.77,20.0
901,-3.53,6.0
902,6.73,29.0
903,6.77,15.0
904,3.89,13.0
905,2.13,17.0
906,4.21,-46.0
907,1.49,15.0
908,-0.78,-7.0
909,0.49,35.0
910,5.18,28.0
911,2.66,49.0
912,-2.21,4.0
913,4.57,-30.0
914,12.9,-10.0
915,4.42,-2.0
916,3.85,11.0
917,-2.61,23.0
918,5.46,-24.0
919,6.46,6.0
920,3.37,4.0
921,4.54,17.0
922,3.04,8.0
923,3.12,-4.0
924,3.7,1.0
925,2.21,11.0
926,5.3,20.0
927,-2.98,-22.0
928,1.34,-10.0
929,0.07,8.0
930,7.25,12.0
931,0.68,-20.0
932,3.8,2.0
933,2.54,3.0
934,2.8,5.0
935,2.86,2.0
936,-3.13,16.0
937,6.08,17.0
938,2.25,-41.0
939,2.08,11.0
940,-1.19,-6.0
941,0.88,20.0
942,-1.47,16.0
943,7.2,43.0
944,-4.96,-31.0
945,4.12,59.0
946,-0.18,15.0
947,-0.52,21.0
948,4.25,8.0
949,-3.71,3.0
950,0.31,5.0
951,-5.92,33.0
952,1.36,28.0
953,3.58,7.0
954,5.04,10.0
955,2.51,6.0
956,-1.72,23.0
957,-3.62,-16.0
958,8.64,-9.0
959,4.34,18.0
960,10.17,11.0
961,3.04,17.0
962,9.4,31.0
963,4.93,-17.0
964,-1.81,-14.0
965,-2.67,-14.0
966,-2.62,4.0
967,-5.77,17.0
968,3.44,11.0
969,-3.45,16.0
970,3.56,34.0
971,-2.58,10.0
972,6.05,21.0
973,0.41,15.0
974,8.6,24.0
975,7.77,26.0
976,6.77,61.0
977,6.39,1.0
978,6.76,10.0
979,-4.27,2.0
980,3.7,43.0
981,1.47,38.0
982,6.15,20.0
983,0.74,28.0
984,-1.25,-29.0
985,2.68,7.0
986,4.61,14.0
987,1.21,-16.0
988,1.07,5.0
989,1.22,6.0
990,1.62,10.0
991,9.31,17.0
992,3.85,28.0
993,-2.41,47.0
994,1.71,24.0
995,-1.17,7.0
996,4.72,-14.0
997,2.46,-12.0
998,8.96,13.0
999,-5.29,6.0
1000,2.0,-33.0
1001,5.5,6.0
1002,5.08,3.0
1003,2.18,9.0
1004,2.46,-8.0
1005,0.48,36.0
1006,-5.34,15.0
1007,0.36,3.0
1008,0.24,-4.0
1009,-0.79,20.0
1010,-3.55,3.0
1011,-2.69,17.0
1012,6.98,13.0
1013,-1.82,11.0
1014,3.21,15.0
1015,-4.97,5.0
1016,2.0,-21.0
1017,4.26,-4.0
1018,-0.58,10.0
1019,0.43,13.0
1020,4.83,6.0
1021,7.55,43.0
1022,3.83,13.0
1023,5.33,11.0
1024,1.39,-7.0
1025,1.19,1.0
1026,-2.54,-20.0
1027,1.49,22.0
1028,6.57,-4.0
1029,2.0,-35.0
1030,0.64,34.0
1031,2.0,13.0
1032,0.03,31.0
1033,7.76,12.0
1034,7.9,1.0
1035,-1.35,-20.0
1036,-2.68,11.0
1037,-5.73,18.0
1038,-0.11,13.0
1039,9.78,36.0
1040,-3.43,28.0
1041,3.5,31.0
1042,1.39,-2.0
1043,1.4,-5.0
1044,10.03,
1045,-1.31,
1046,3.77,
1047,3.06,
1048,0.68,
1049,9.17,
1050,2.79,
1051,2.37,
1052,7.74,
1053,0.47,
1054,2.47,
1055,5.21,
1056,6.06,
1057,2.12,
1058,4.92,
1059,1.67,
1060,12.52,
1061,5.08,
1062,1.37,
1063,7.21,
1064,1.8,
1065,1.4,
1066,7.42,
1067,4.19,
1068,5.87,
1069,-2.68,
1070,-0.57,
1071,3.06,
1072,3.68,
1073,3.7,
1074,6.07,
1075,4.92,
1076,10.17,
1077,6.08,
1078,2.11,
1079,1.64,
1080,1.37,
1081,1.63,
1082,-1.29,
1083,0.07,
1084,-1.81,
1085,6.48,
1086,-5.51,
1087,-1.25,
1088,5.1,
1089,-0.79,
1090,0.74,
1091,1.46,
1092,1.92,
1093,4.05,
1094,3.63,
1095,58.11,
1096,1.98,
1097,3.67,
1098,1.23,
1099,2.0,
1100,2.0,
